((((结核病:病症,或,风湿热:病症),或,支气管肺炎:病症),或,(渗出性:性质修饰语,修饰限定,胸膜炎:病症)),强导致,不规则热:病症)	发热6,诊断学,【热型及临床意义】,6﹒不规则热（irregular fever）
(不规则热:病症,等价,irregular fever:病症)	发热6,诊断学,【热型及临床意义】
(回归热:病症,等价,recurrent fever:病症)	发热6,诊断学,【热型及临床意义】
(波状热:病症,等价,undulant fever:病症)	发热6,诊断学,【热型及临床意义】
(间歇热:病症,等价,intermittent fever:病症)	发热6,诊断学,【热型及临床意义】
(弛张热:病症,等价,remittent fever:病症)	发热6,诊断学,【热型及临床意义】
(稽留热:病症,等价,continued fever:病症)	发热6,诊断学,【热型及临床意义】
((((败血症:病症,或,风湿热:病症),或,(重症:程度修饰语,修饰限定,肺结核:病症)),或,(化脓性:性质修饰语,修饰限定,炎症:病症)),强导致,弛张热:病症)	发热6,诊断学,【热型及临床意义】,2﹒弛张热（remittent fever）
((((大叶性:性质修饰语,修饰限定,肺炎:病症),或,斑疹伤寒:病症),或,伤寒高热期:病症),强导致,稽留热:病症)	发热6,诊断学,【热型及临床意义】,1﹒稽留热（continued fever）
(霍奇金（Hodgkin）病:病症,强导致,回归热:病症)	发热6,诊断学,【热型及临床意义】,5﹒回归热（recurrent fever）
(布氏杆菌病:病症,强导致,波状热:病症)	发热6,诊断学,【热型及临床意义】,4﹒波状热（undulant fever）
((疟疾:病症,或,(急性:性质修饰语,修饰限定,肾盂肾炎:病症)),强导致,间歇热:病症)	发热6,诊断学,【热型及临床意义】,3﹒间歇热（intermittent fever）
(弛张热:病症,等价,败血症热型:病症)	发热6,诊断学,【热型及临床意义】
