(非致热源性:修饰语,修饰限定,发热:病症)	发热3,诊断学,【发生机制】
(((广泛性:性质修饰语,修饰限定,皮肤病变:病症),或,心力衰竭:病症),强导致,(减少:程度修饰语,修饰限定,散热:生理概念))	发热3,诊断学,【发生机制】,2﹒非致热源性发热,（3）引起散热减少的疾病：
((升高:程度修饰语,修饰限定,体温:生理概念),强导致,发热:病症)	发热3,诊断学,【发生机制】,1﹒致热源性发热,（2）内源性致热源（endogenous pyrogen）：
((内源性:性质修饰语,修饰限定,致热源:生理概念),强导致,((皮肤血管:生理概念,与,竖毛肌:生理概念),修饰限定,收缩:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热
((停止:程度修饰语,修饰限定,排汗:生理概念),强导致,(减少:程度修饰语,修饰限定,散热:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（2）内源性致热源（endogenous pyrogen）：
(((皮肤血管:生理概念,与,竖毛肌:生理概念),修饰限定,收缩:生理概念),强导致,(停止:程度修饰语,修饰限定,排汗:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（2）内源性致热源（endogenous pyrogen）：
(((增加:程度修饰语,修饰限定,代谢:生理概念),或,骨骼肌阵缩:生理概念),强导致,(增多:程度修饰语,修饰限定,产热:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（2）内源性致热源（endogenous pyrogen）：
((体温调节中枢:生理概念,作用于,体温:生理概念),强导致,((增加:程度修饰语,修饰限定,代谢:生理概念),或,骨骼肌阵缩:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（2）内源性致热源（endogenous pyrogen）：
(骨骼肌阵缩:生理概念,强导致,寒战:病症)	发热3,诊断学,【发生机制】,1﹒致热源性发热,（2）内源性致热源（endogenous pyrogen）：
((上升:程度修饰语,修饰限定,调定点:生理概念),强导致,(体温调节中枢:生理概念,作用于,体温:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（2）内源性致热源（endogenous pyrogen）：
(((内源性:性质修饰语,修饰限定,致热源:生理概念),作用于,(体温调节中枢:生理概念,修饰限定,体温调定点:生理概念)),强导致,(上升:程度修饰语,修饰限定,调定点:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热
(温阈:生理概念,等价,调定点:生理概念)	发热3,诊断学,【发生机制】,1﹒致热源性发热,（2）内源性致热源（endogenous pyrogen）：
(大分子物质:化学物质,是一种,(外源性:性质修饰语,修饰限定,致热原:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（1）外源性致热源（exogenous pyrogen）：
(类固醇物质:化学物质,是一种,(外源性:性质修饰语,修饰限定,致热原:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（1）外源性致热源（exogenous pyrogen）：
(原胆烷醇酮:化学物质,是一种,类固醇物质:化学物质)	发热3,诊断学,【发生机制】,1﹒致热源性发热,（1）外源性致热源（exogenous pyrogen）：
(((持续:状态修饰语,修饰限定,癫痫:病症),或,甲状腺功能亢进症:病症),强导致,(过多:程度修饰语,修饰限定,产热:生理概念))	发热3,诊断学,【发生机制】,2﹒非致热源性发热,（2）引起产热过多的疾病：
((颅脑:部位,修饰限定,((外伤:病症,或,出血:病症),或,炎症:病症)),是一种,(受损:状态修饰语,修饰限定,体温调节中枢:生理概念))	发热3,诊断学,【发生机制】,2﹒非致热源性发热,（1）体温调节中枢直接受损：
(((白介素:化学物质,或,肿瘤坏死因子:化学物质),或,干扰素:化学物质),是一种,白细胞致热源:生理概念)	发热3,诊断学,【发生机制】,1﹒致热源性发热,（2）内源性致热源（endogenous pyrogen）：
((内源性:性质修饰语,修饰限定,致热源:生理概念),等价,白细胞致热源:生理概念)	发热3,诊断学,【发生机制】,1﹒致热源性发热
((细菌内毒素:化学物质,作用于,((中性粒细胞:生理概念,与,嗜酸性粒细胞:生理概念),与,单核‐吞噬细胞:生理概念)),强导致,(内源性:性质修饰语,修饰限定,致热源:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（1）外源性致热源（exogenous pyrogen）：
(((多糖体成分:化学物质,或,多核苷酸:化学物质),或,淋巴细胞激活因子:化学物质),是一种,(外源性:性质修饰语,修饰限定,致热原:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（1）外源性致热源（exogenous pyrogen）：
(抗原抗体复合物:生理概念,是一种,(外源性:性质修饰语,修饰限定,致热原:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（1）外源性致热源（exogenous pyrogen）：
(((炎性:性质修饰语,修饰限定,渗出物:病理概念),或,(无菌性:性质修饰语,修饰限定,坏死组织:病理概念)),是一种,(外源性:性质修饰语,修饰限定,致热原:生理概念))	发热3,诊断学,【发生机制】,1﹒致热源性发热,（1）外源性致热源（exogenous pyrogen）：
